C�digo Barra,C�digo Reduzido,Descri��o,Unidade Medida,Categoria,Setor,Pre�o de Venda Unit�rio R$,Classificacao Fiscal / NCM,CST ICMS Sa�da,CEST,CFOP Estadual,Al�quota ICMS,Al�quota de PIS,CST PIS Sa�da,Al�quota de COFINS,CST COFINS Sa�da,Enviar para Balan�a,,,,,,,,,,
|7896828000482|,1037,KERO COCO 330ML,UN,BEBIDAS,02 REVENDA,6,5000,2009.89.21 - AGUA DE COCO (COCOS NUCIFERA) COM VALOR BRIX NAO SUPERIOR A 7,4,60,03.007.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,
|7891098000026|,1064,CHA MATTE LEAO NATURAL 100G,UN,BEBIDAS,02 REVENDA,7,3000,0903.00.90 - OUTROS TIPOS DE MATE,60,17.111.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,,
,,,,,,31,3800,1704.90.90 - DOCES E CONFEITARIA,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,,
,,,,,,13,2000,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.01,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,21,8000,1905.90.90 - 001 - PAO DO TIPO COMUM,0,17.062.03,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,7,0,0,6,0,0,6,Sim,,,,,,,
,,,,,,21,8000,1905.90.90 - 001 - PAO DO TIPO COMUM,0,17.062.03,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,7,0,0,6,0,0,6,Sim,,,,,,,
,,,,,,32,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.02,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,25,5800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.03,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,7,0,0,6,0,0,6,Sim,,,,,
,,,,,,79,8500,1905.20.90 - PAES ESPECIAIS E BOLOS SECOS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,,
,,,,,,47,200,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,31,3800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,31,3800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,17.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,28,6800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
,,,,,,28,6800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
